relative_path,extension,size_bytes,modified_utc,sha256,profile_status
3 Data/1 Raw/Secondary data/uga_villages_jan_2009_pcodedb.zip,.zip,461157,2026-04-24T12:57:42.661490+00:00,7874ed5a692ca6a69ddf09386c1ecdc136a1c42581e6c29dd6639b28468db719,archive_profiled
3 Data/2 Working/phase1_baseline_clean.dta,.dta,1328266,2026-06-20T06:40:41.919612+00:00,a65e1f970378090ac3c1e40623e9e4f2cce1be864acba8a4c24c5b32b4d6594a,schema_profiled
3 Data/2 Working/phase1_replacements.dta,.dta,88855,2026-04-24T09:30:22.859845+00:00,c5bf7107afeb8ff4e914073cc03d047fa7809bab1c9abae60db5e47a2fd1f0aa,schema_profiled
3 Data/2 Working/phase1_sampling_frame_full.dta,.dta,167553,2026-04-24T09:30:22.849847+00:00,5248ae7ffbc07edbe2b0e6aa56ea12e9b801738602f2ed875d6b1f3229415bd0,schema_profiled
3 Data/2 Working/phase1_selected_100.dta,.dta,93548,2026-04-24T09:30:22.854848+00:00,719aea1b9345b80cf06b52a19390051a2e8d13d4f21b9ee3347463df057cbb15,schema_profiled
3 Data/2 Working/phase1_tracking_form_clean.dta,.dta,46480,2026-06-12T14:34:07.290808+00:00,5c72df7a1666e90c1074915f423726ba80598ae703c4cf40de259ea7e0a8a9d5,schema_profiled
3 Data/2 Working/village_cases_2025_clean.dta,.dta,123870,2026-04-24T09:30:22.585974+00:00,da8096200f240431664e26daae10e7234e994ef7429202c2327c5af97d54f5a8,schema_profiled
3 Data/3 Coded/phase1_baseline_analysis.dta,.dta,1307858,2026-06-20T06:40:41.928612+00:00,cf9f15fc62bc0be79a5b4168678447c70ecf5844c53016c2996b10521f071dc3,schema_profiled
3 Data/3 Coded/phase1_baseline_data_quality.xlsx,.xlsx,23393,2026-06-20T06:40:42.726380+00:00,9c127820994d4c671207081809698ae6ac9df6d0b78ed8fa46895b6bb78491b8,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq.log,.log,326939,2026-07-16T09:27:39.812850+00:00,598ac97646a57edf9f51ffc88b86d2cbe167975f1cef6402fa3482db025ed221,text_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_check_summary.dta,.dta,178527,2026-07-16T09:27:37.868346+00:00,b6fe185d9aca3e107761fd8de4be16c72d9d803254b34000b307790a24b3655e,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_issues.csv,.csv,103091,2026-07-16T09:27:37.860340+00:00,9dc0d77d6048e43640d96f06611624e72dc913206e1c690a83297544b43b8c22,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_issues.dta,.dta,159613,2026-07-16T09:27:37.853340+00:00,60a9067c1e0b899e5ca5fdf352526f4214713a1df3a712d74ac634f7e7194f84,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_record_flags.dta,.dta,48842,2026-07-16T09:27:36.023960+00:00,88b66fdbb2a72954027fc3977294deb3217db9855731c3a3f3c8fcbefa227270,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_release_status.txt,.txt,442,2026-07-16T09:27:39.811110+00:00,d801dd2a51dce6b263fcfa348254c4548f78c5eed8cd7da052a556af922b595e,text_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_report.xlsx,.xlsx,147463,2026-07-16T09:27:39.796853+00:00,059fc2022f8d83e1e830f2e04c844ebe25af10584b07a07bf65b7c7c6b3d255a,schema_profiled
3 Data/3 Coded/Phase1_Baseline_QA/phase1_baseline_dq_tagged.dta,.dta,1209373,2026-07-16T09:27:36.021810+00:00,e8fa33f301fcd5de6de72b163c87254a025903664f3caa6846af442b86191b2f,schema_profiled
3 Data/3 Coded/Phase1_sampling_randomization.xlsx,.xlsx,21102,2026-05-13T11:47:30+00:00,502fdb5062f386bd7185bca566bb0699a4fe4296c24022b5532a25ccbab8e943,schema_profiled
4 Deliverables and Presentations/Advancing Justice Uganda - Evaluation of LC Justive System for diversion program - Inception Report.docx,.docx,3247653,2026-04-23T23:52:47+00:00,6495d11a31ce63523a0664c099d0aa6ce0e80a3cba072347358fb43c08e8b288,document_profiled
4 Deliverables and Presentations/Advancing Justice Uganda - Impact Evaluation Technical Proposal.docx,.docx,113541,2026-04-23T10:01:39.779572+00:00,3c9c02f2f969c8e6ab3dbe04195f25af243f485d46a84fb8d9da79d24424c123,document_profiled
4 Deliverables and Presentations/Advancing Justice Uganda - Phase 1 Baseline High Level Results.pptx,.pptx,6291102,2026-06-22T08:14:39+00:00,887c99485d0b0da39e63c54947160398580973c0f07acb29b9bef2d931e9c8c8,document_profiled
4 Deliverables and Presentations/Inception Report_Shorter version_26042025.docx,.docx,3282326,2026-04-26T16:15:42+00:00,55c02cc36b0268b76627eb1ec5303839563ecba73805c121c58f4b926807355c,document_profiled
4 Deliverables and Presentations/Legatum Baseline Scope of work_Revised (1).docx,.docx,80078,2026-04-23T09:57:21.579154+00:00,e5c340e29b2a85c244002049ac85f41cb5f28a6c38f896bdb5d22f0dd30d3523,document_profiled
4 Deliverables and Presentations/Legatum inception meeting_08042026.pptx,.pptx,179226,2026-04-20T07:36:27+00:00,5811bc3bf74100030d9b9b850c9ef6f478a94d558bd954deae8a53f7bc070658,document_profiled
BASELINE_RECONCILIATION_AND_ANALYTICAL_GUIDANCE_AUG2026.md,.md,36172,2026-08-31T14:06:28+00:00,e226db788ce0686d59cec83b2d062989243b50d751de5d89fb563d0586893157,text_profiled
desktop.ini,.ini,178,2026-03-25T16:03:50.785360+00:00,c89e692f83dadccbe031271fb3349d2d994ee5adf1d52fc383cb8874fd4b657f,text_profiled
